Feature ordinal,Feature,Bio MAF v4 block,Recommended status,Feature count origin,What this feature measures,Why this feature is in v4,Plain-English interpretation,Source / grounding,Downloaded/local provenance,Likely reviewer criticism,Response / rationale,Signature separation note
422,driver_gene_functional_event_log_count__FGFR1,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. FGFR1 is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Cancer Hotspots v3.,log1p count of high/moderate-impact or otherwise protein-affecting mutations in FGFR1,"Recovers exact cancer-gene identity that the hash model had, but only for externally supported genes.",This tumor has a protein-affecting mutation in the externally supported cancer gene FGFR1.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
423,driver_gene_role_matched_event_log_count__FGFR1,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. FGFR1 is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Cancer Hotspots v3.,"log1p count of role-consistent likely driver events in FGFR1; tumor-suppressor genes emphasize loss-of-function, oncogenes emphasize exact hotspot/residue evidence, both-role genes allow either.",Separates a generic passenger-like mutation from a mutation that matches known cancer-gene biology.,This tumor has a mutation in FGFR1 that better matches how that gene is known to drive cancer.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
424,driver_gene_functional_event_log_count__FGFR2,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. FGFR2 is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3.,log1p count of high/moderate-impact or otherwise protein-affecting mutations in FGFR2,"Recovers exact cancer-gene identity that the hash model had, but only for externally supported genes.",This tumor has a protein-affecting mutation in the externally supported cancer gene FGFR2.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
425,driver_gene_role_matched_event_log_count__FGFR2,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. FGFR2 is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3.,"log1p count of role-consistent likely driver events in FGFR2; tumor-suppressor genes emphasize loss-of-function, oncogenes emphasize exact hotspot/residue evidence, both-role genes allow either.",Separates a generic passenger-like mutation from a mutation that matches known cancer-gene biology.,This tumor has a mutation in FGFR2 that better matches how that gene is known to drive cancer.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
426,driver_gene_functional_event_log_count__FGFR3,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. FGFR3 is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3.,log1p count of high/moderate-impact or otherwise protein-affecting mutations in FGFR3,"Recovers exact cancer-gene identity that the hash model had, but only for externally supported genes.",This tumor has a protein-affecting mutation in the externally supported cancer gene FGFR3.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
427,driver_gene_role_matched_event_log_count__FGFR3,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. FGFR3 is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3.,"log1p count of role-consistent likely driver events in FGFR3; tumor-suppressor genes emphasize loss-of-function, oncogenes emphasize exact hotspot/residue evidence, both-role genes allow either.",Separates a generic passenger-like mutation from a mutation that matches known cancer-gene biology.,This tumor has a mutation in FGFR3 that better matches how that gene is known to drive cancer.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
428,driver_gene_functional_event_log_count__FGFR4,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. FGFR4 is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Cancer Hotspots v3.,log1p count of high/moderate-impact or otherwise protein-affecting mutations in FGFR4,"Recovers exact cancer-gene identity that the hash model had, but only for externally supported genes.",This tumor has a protein-affecting mutation in the externally supported cancer gene FGFR4.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
429,driver_gene_role_matched_event_log_count__FGFR4,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. FGFR4 is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Cancer Hotspots v3.,"log1p count of role-consistent likely driver events in FGFR4; tumor-suppressor genes emphasize loss-of-function, oncogenes emphasize exact hotspot/residue evidence, both-role genes allow either.",Separates a generic passenger-like mutation from a mutation that matches known cancer-gene biology.,This tumor has a mutation in FGFR4 that better matches how that gene is known to drive cancer.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
430,driver_gene_functional_event_log_count__FH,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. FH is included because: OncoKB annotated; COSMIC CGC v99 flag; Cancer Hotspots v3.,log1p count of high/moderate-impact or otherwise protein-affecting mutations in FH,"Recovers exact cancer-gene identity that the hash model had, but only for externally supported genes.",This tumor has a protein-affecting mutation in the externally supported cancer gene FH.,OncoKB annotated; COSMIC CGC v99 flag; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
431,driver_gene_role_matched_event_log_count__FH,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. FH is included because: OncoKB annotated; COSMIC CGC v99 flag; Cancer Hotspots v3.,"log1p count of role-consistent likely driver events in FH; tumor-suppressor genes emphasize loss-of-function, oncogenes emphasize exact hotspot/residue evidence, both-role genes allow either.",Separates a generic passenger-like mutation from a mutation that matches known cancer-gene biology.,This tumor has a mutation in FH that better matches how that gene is known to drive cancer.,OncoKB annotated; COSMIC CGC v99 flag; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
432,driver_gene_functional_event_log_count__FHIT,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. FHIT is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024.,log1p count of high/moderate-impact or otherwise protein-affecting mutations in FHIT,"Recovers exact cancer-gene identity that the hash model had, but only for externally supported genes.",This tumor has a protein-affecting mutation in the externally supported cancer gene FHIT.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
433,driver_gene_role_matched_event_log_count__FHIT,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. FHIT is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024.,"log1p count of role-consistent likely driver events in FHIT; tumor-suppressor genes emphasize loss-of-function, oncogenes emphasize exact hotspot/residue evidence, both-role genes allow either.",Separates a generic passenger-like mutation from a mutation that matches known cancer-gene biology.,This tumor has a mutation in FHIT that better matches how that gene is known to drive cancer.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
434,driver_gene_functional_event_log_count__FLCN,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. FLCN is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024.,log1p count of high/moderate-impact or otherwise protein-affecting mutations in FLCN,"Recovers exact cancer-gene identity that the hash model had, but only for externally supported genes.",This tumor has a protein-affecting mutation in the externally supported cancer gene FLCN.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
435,driver_gene_role_matched_event_log_count__FLCN,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. FLCN is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024.,"log1p count of role-consistent likely driver events in FLCN; tumor-suppressor genes emphasize loss-of-function, oncogenes emphasize exact hotspot/residue evidence, both-role genes allow either.",Separates a generic passenger-like mutation from a mutation that matches known cancer-gene biology.,This tumor has a mutation in FLCN that better matches how that gene is known to drive cancer.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
436,driver_gene_functional_event_log_count__FLT3,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. FLT3 is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3.,log1p count of high/moderate-impact or otherwise protein-affecting mutations in FLT3,"Recovers exact cancer-gene identity that the hash model had, but only for externally supported genes.",This tumor has a protein-affecting mutation in the externally supported cancer gene FLT3.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
437,driver_gene_role_matched_event_log_count__FLT3,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. FLT3 is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3.,"log1p count of role-consistent likely driver events in FLT3; tumor-suppressor genes emphasize loss-of-function, oncogenes emphasize exact hotspot/residue evidence, both-role genes allow either.",Separates a generic passenger-like mutation from a mutation that matches known cancer-gene biology.,This tumor has a mutation in FLT3 that better matches how that gene is known to drive cancer.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
438,driver_gene_functional_event_log_count__FLT4,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. FLT4 is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024.,log1p count of high/moderate-impact or otherwise protein-affecting mutations in FLT4,"Recovers exact cancer-gene identity that the hash model had, but only for externally supported genes.",This tumor has a protein-affecting mutation in the externally supported cancer gene FLT4.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
439,driver_gene_role_matched_event_log_count__FLT4,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. FLT4 is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024.,"log1p count of role-consistent likely driver events in FLT4; tumor-suppressor genes emphasize loss-of-function, oncogenes emphasize exact hotspot/residue evidence, both-role genes allow either.",Separates a generic passenger-like mutation from a mutation that matches known cancer-gene biology.,This tumor has a mutation in FLT4 that better matches how that gene is known to drive cancer.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
440,driver_gene_functional_event_log_count__FOXA1,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. FOXA1 is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Cancer Hotspots v3.,log1p count of high/moderate-impact or otherwise protein-affecting mutations in FOXA1,"Recovers exact cancer-gene identity that the hash model had, but only for externally supported genes.",This tumor has a protein-affecting mutation in the externally supported cancer gene FOXA1.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
441,driver_gene_role_matched_event_log_count__FOXA1,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. FOXA1 is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Cancer Hotspots v3.,"log1p count of role-consistent likely driver events in FOXA1; tumor-suppressor genes emphasize loss-of-function, oncogenes emphasize exact hotspot/residue evidence, both-role genes allow either.",Separates a generic passenger-like mutation from a mutation that matches known cancer-gene biology.,This tumor has a mutation in FOXA1 that better matches how that gene is known to drive cancer.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
442,driver_gene_functional_event_log_count__FOXL2,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. FOXL2 is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3.,log1p count of high/moderate-impact or otherwise protein-affecting mutations in FOXL2,"Recovers exact cancer-gene identity that the hash model had, but only for externally supported genes.",This tumor has a protein-affecting mutation in the externally supported cancer gene FOXL2.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
443,driver_gene_role_matched_event_log_count__FOXL2,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. FOXL2 is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3.,"log1p count of role-consistent likely driver events in FOXL2; tumor-suppressor genes emphasize loss-of-function, oncogenes emphasize exact hotspot/residue evidence, both-role genes allow either.",Separates a generic passenger-like mutation from a mutation that matches known cancer-gene biology.,This tumor has a mutation in FOXL2 that better matches how that gene is known to drive cancer.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Vogelstein 2013; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
444,driver_gene_functional_event_log_count__FOXO1,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. FOXO1 is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Cancer Hotspots v3.,log1p count of high/moderate-impact or otherwise protein-affecting mutations in FOXO1,"Recovers exact cancer-gene identity that the hash model had, but only for externally supported genes.",This tumor has a protein-affecting mutation in the externally supported cancer gene FOXO1.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
445,driver_gene_role_matched_event_log_count__FOXO1,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. FOXO1 is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Cancer Hotspots v3.,"log1p count of role-consistent likely driver events in FOXO1; tumor-suppressor genes emphasize loss-of-function, oncogenes emphasize exact hotspot/residue evidence, both-role genes allow either.",Separates a generic passenger-like mutation from a mutation that matches known cancer-gene biology.,This tumor has a mutation in FOXO1 that better matches how that gene is known to drive cancer.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
446,driver_gene_functional_event_log_count__FOXO3,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. FOXO3 is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024.,log1p count of high/moderate-impact or otherwise protein-affecting mutations in FOXO3,"Recovers exact cancer-gene identity that the hash model had, but only for externally supported genes.",This tumor has a protein-affecting mutation in the externally supported cancer gene FOXO3.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
447,driver_gene_role_matched_event_log_count__FOXO3,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. FOXO3 is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024.,"log1p count of role-consistent likely driver events in FOXO3; tumor-suppressor genes emphasize loss-of-function, oncogenes emphasize exact hotspot/residue evidence, both-role genes allow either.",Separates a generic passenger-like mutation from a mutation that matches known cancer-gene biology.,This tumor has a mutation in FOXO3 that better matches how that gene is known to drive cancer.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
448,driver_gene_functional_event_log_count__FOXP1,exact_consensus_driver_gene_identity,Core Bio MAF v4 feature; selectable as a block inside nested CV,401 externally supported genes x 2 exact-gene mutation summaries = 802 features. FOXP1 is included because: OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Cancer Hotspots v3.,log1p count of high/moderate-impact or otherwise protein-affecting mutations in FOXP1,"Recovers exact cancer-gene identity that the hash model had, but only for externally supported genes.",This tumor has a protein-affecting mutation in the externally supported cancer gene FOXP1.,OncoKB annotated; COSMIC CGC v99 flag; IntOGen 2024; Cancer Hotspots v3,OncoKB cancer gene list; IntOGen 2024 driver compendium; Cancer Hotspots v3 files. COSMIC CGC support is from the OncoKB CGC v99 flag because direct COSMIC download requires login.,Exact gene features can look like hand-picked biomarkers or may encode cancer type.,The gene list is not learned from endpoints. It is frozen before CV using external resources. Inclusion of the whole exact-gene block is tuned only inside the inner CV loop.,Gene identity is not a mutational signature exposure; signatures remain separate.
